key,chapter,season,race,modeen,locationen,tracken,time
San_Francisco_City_Dash_60,1,Legendary Start,1,Classic,San Francisco,City Dash,60
San_Francisco_Waterside_60,1,Legendary Start,2,Classic,San Francisco,Waterside,60
Himalayas_Freefall_30,1,Legendary Start,3,Classic,Himalayas,Freefall,30
Himalayas_Snow_Vault_60,1,Legendary Start,4,Classic,Himalayas,Snow Vault,60
Himalayas_Landslide_60,1,Legendary Start,5,Classic,Himalayas,Landslide,60
San_Francisco_The_City_by_the_Bay_90,1,Legendary Start,6,Classic,San Francisco,The City by the Bay,90
Scotland_The_Enchanted_Island_60,1,Gearheads,1,Classic,Scotland,The Enchanted Island,60
Scotland_Ghost_Ships_30,1,Gearheads,2,Classic,Scotland,Ghost Ships,30
Scotland_Ancient_Ruins_90,1,Gearheads,3,Classic,Scotland,Ancient Ruins,90
San_Francisco_The_Tunnel_30,1,Gearheads,4,Classic,San Francisco,The Tunnel,30
San_Francisco_Downtown_Rise_90,1,Gearheads,5,Time Attack,San Francisco,Downtown Rise,90
San_Francisco_Roller_Coaster_Ride_90,1,Gearheads,6,Classic,San Francisco,Roller Coaster Ride,90
Scotland_Lighthouse_60,1,Gearheads,7,Classic,Scotland,Lighthouse,60
Scotland_Rocky_Valley_30,1,Gearheads,8,Classic,Scotland,Rocky Valley,30
Scotland_The_Path_of_Wind_90,1,Gearheads,9,Classic,Scotland,The Path of Wind,90
Scotland_The_Windmills_120,1,Gearheads,10,Classic,Scotland,The Windmills,120
Himalayas_Cliffhanger_90,1,Class D Novice,2,Time Attack,Himalayas,Cliffhanger,90
Shanghai_Reach_for_the_Sky_60,1,Class D Novice,3,Classic,Shanghai,Reach for the Sky,60
Himalayas_Dipping_Down_90,1,Class D Novice,8,Classic,Himalayas,Dipping Down,90
Himalayas_The_Land_of_Snow_120,1,Class D Novice,10,Classic,Himalayas,The Land of Snow,120
Shanghai_Future_Road_60,1,BMW Z4,1,Classic,Shanghai,Future Road,60
Shanghai_Double_Roundabout_30,1,BMW Z4,4,Classic,Shanghai,Double Roundabout,30
Shanghai_Paris_of_the_East_30,1,BMW Z4,6,Classic,Shanghai,Paris of the East,30
Shanghai_Pudong_Rise_90,1,BMW Z4,8,Classic,Shanghai,Pudong Rise,90
Shanghai_The_Pearl_of_the_Orient_90,1,Class C Novice,4,Classic,Shanghai,The Pearl of the Orient,90
Himalayas_Frozen_Route_90,1,Class C Novice,11,Classic,Himalayas,Frozen Route,90
Himalayas_Leap_of_Faith_30,1,Exclusive Challenge Asia,2,Classic,Himalayas,Leap of Faith,30
Shanghai_Nanjing_Stroll_90,1,Exclusive Challenge Asia,4,Time Attack,Shanghai,Nanjing Stroll,90
Himalayas_Mountain_Poles_90,1,Exclusive Challenge Asia,5,Classic,Himalayas,Mountain Poles,90
Shanghai_Shopping_Spree_120,1,Exclusive Challenge Asia,10,Classic,Shanghai,Shopping Spree,120
San_Francisco_Final_del_Puente_120,1,Escape,2,Hunted,San Francisco,Final del Puente,120
US_Midwest_US_Wilderness_120,1,Escape,3,Hunted,US Midwest,US Wilderness,120
Rome_Tiber_Cross_60,1,Escape,4,Classic,Rome,Tiber Cross,60
Rome_Complete_Tour_120,1,Escape,5,Hunted,Rome,Complete Tour,120
Scotland_Freedom_Route_120,1,Escape,6,Hunted,Scotland,Freedom Route,120
San_Francisco_Railroad_Bustle_30,1,Camaro,1,Classic,San Francisco,Railroad Bustle,30
Scotland_The_Cave_90,1,Camaro,9,Classic,Scotland,The Cave,90
San_Francisco_Streets_of_San_Francisco_90,1,Camaro,10,Classic,San Francisco,Streets of San Francisco,90
Cairo_Urban_Blaze_90,1,Class D Rookie,1,Classic,Cairo,Urban Blaze,90
Cairo_A_Kings_Revival_30,1,Class D Rookie,4,Classic,Cairo,A Kings Revival,30
Cairo_Subterranean_Dash_60,1,Class D Rookie,5,Classic,Cairo,Subterranean Dash,60
Cairo_Scenic_Route_120,1,Class D Rookie,10,Hunted,Cairo,Scenic Route,120
Cairo_Cairo_Tower_Finish_60,1,Class D Rookie,11,Classic,Cairo,Cairo Tower Finish,60
Osaka_Meiji_Rush_30,1,The Heart of Kansai,1,Classic,Osaka,Meiji Rush,30
Osaka_Budding_Start_90,1,The Heart of Kansai,2,Classic,Osaka,Budding Start,90
Osaka_Sakura_Castle_60,1,The Heart of Kansai,3,Classic,Osaka,Sakura Castle,60
Osaka_Industrial_Revolution_90,1,The Heart of Kansai,4,Classic,Osaka,Industrial Revolution,90
Osaka_Rat_Race_60,1,The Heart of Kansai,5,Classic,Osaka,Rat Race,60
Osaka_Naniwa_Tour_90,1,The Heart of Kansai,6,Classic,Osaka,Naniwa Tour,90
Cairo_Gezira_Island_30,2,Class D Pro,1,Classic,Cairo,Gezira Island,30
Cairo_Ancient_Wonders_90,2,Class D Pro,6,Time Attack,Cairo,Ancient Wonders,90
Cairo_Thousand_Minarets_90,2,Class D Pro,10,Classic,Cairo,Thousand Minarets,90
Shanghai_People_Square_Dash_120,2,Class D Pro,12,Classic,Shanghai,People Square Dash,120
US_Midwest_Its_a_Twister_30,2,Ultimate Muscle,1,Classic,US Midwest,Its a Twister,30
US_Midwest_Trainspotter_30,2,Ultimate Muscle,2,Classic,US Midwest,Trainspotter,30
US_Midwest_Rolling_Motorway_60,2,Ultimate Muscle,3,Classic,US Midwest,Rolling Motorway,60
US_Midwest_Transcontinental_Race_90,2,Ultimate Muscle,4,Classic,US Midwest,Transcontinental Race,90
US_Midwest_Canyon_Launch_90,2,Ultimate Muscle,8,Classic,US Midwest,Canyon Launch,90
US_Midwest_Whirlwind_Curve_90,2,Ultimate Muscle,9,Classic,US Midwest,Whirlwind Curve,90
US_Midwest_Gold_Rush_90,2,Ultimate Muscle,12,Classic,US Midwest,Gold Rush,90
Rome_The_Eternal_City_90,2,Class C Rookie,5,Time Attack,Rome,The Eternal City,90
Cairo_Pharaoh_Games_120,2,Class C Rookie,6,Classic,Cairo,Pharaoh Games,120
Rome_Bread_and_Circuses_60,2,Class C Rookie,9,Classic,Rome,Bread and Circuses,60
Shanghai_Shen_City_90,2,Class C Rookie,12,Classic,Shanghai,Shen City,90
Rome_Capital_of_the_World_90,2,Class C Rookie,14,Classic,Rome,Capital of the World,90
US_Midwest_Time_Travel_60,2,Green Machines,4,Classic,US Midwest,Time Travel,60
US_Midwest_Navajo_Nation_120,2,Green Machines,14,Classic,US Midwest,Navajo Nation,120
Rome_Saint_Peter_Kickoff_90,2,Class B Novice,3,Classic,Rome,Saint Peter Kickoff,90
Scotland_Wildlands_90,2,Class B Novice,7,Classic,Scotland,Wildlands,90
Rome_Alternate_Route_120,2,Class D Elite,13,Classic,Rome,Alternate Route,120
Nevada_Desert_Life_90,2,Full Throttle Season,1,Classic,Nevada,Desert Life,90
New_York_Quantum_Jumps_90,2,Full Throttle Season,2,Classic,New York,Quantum Jumps,90
Nevada_Dam_Buster_90,2,Full Throttle Season,3,Classic,Nevada,Dam Buster,90
Nevada_The_Narrows_120,2,Full Throttle Season,4,Hunted,Nevada,The Narrows,120
Nevada_Bridge_to_Bridge_30,2,Full Throttle Season,6,Classic,Nevada,Bridge to Bridge,30
Himalayas_Asphalt_Cave_120,2,Full Throttle Season,7,Classic,Himalayas,Asphalt Cave,120
New_York_Leaps_&_Bounds_90,2,Full Throttle Season,8,Classic,New York,Leaps & Bounds,90
Nevada_Desert_Run_90,2,Full Throttle Season,9,Classic,Nevada,Desert Run,90
Nevada_Desert_Drift_90,2,Full Throttle Season,10,Time Attack,Nevada,Desert Drift,90
Nevada_Sprint_Finish_120,2,Full Throttle Season,11,Classic,Nevada,Sprint Finish,120
Rome_Roman_Byroads_30,2,Class C Pro,5,Classic,Rome,Roman Byroads,30
Rome_Roman_Tumble_30,2,Class C Pro,8,Classic,Rome,Roman Tumble,30
New_York_Uptown_90,2,Stars & Stripes,1,Classic,New York,Uptown,90
New_York_The_City_that_Never_Sleeps_90,2,Stars & Stripes,2,Classic,New York,The City that Never Sleeps,90
New_York_Trainspotter_30,2,Stars & Stripes,4,Classic,New York,Trainspotter,30
New_York_Airdropped_90,2,Stars & Stripes,5,Classic,New York,Airdropped,90
New_York_Subway_Surfing_90,2,Stars & Stripes,6,Classic,New York,Subway Surfing,90
New_York_Sightseeing_120,2,Stars & Stripes,7,Classic,New York,Sightseeing,120
New_York_A_Run_in_the_Park_30,2,Stars & Stripes,8,Classic,New York,A Run in the Park,30
New_York_Navajo_Nation_120,2,Stars & Stripes,10,Classic,New York,Navajo Nation,120
New_York_Wall_Street_Ride_30,2,Stars & Stripes,11,Classic,New York,Wall Street Ride,30
New_York_Zeppelin_Race_60,2,Stars & Stripes,13,Classic,New York,Zeppelin Race,60
The_Caribbean_Paradise_Resort_90,2,Heatwave,2,Classic,The Caribbean,Paradise Resort,90
Auckland_Auckland_Track_90,2,Heatwave,4,Classic,Auckland,Auckland Track,90
Auckland_Straight_Sprint_30,2,Heatwave,5,Classic,Auckland,Straight Sprint,30
Auckland_Industrial_Run_90,2,Heatwave,6,Classic,Auckland,Industrial Run,90
Auckland_The_Circuit_120,2,Heatwave,7,Classic,Auckland,The Circuit,120
Auckland_Straights_&_Hairpins_90,2,Heatwave,10,Time Attack,Auckland,Straights & Hairpins,90
Rome_Tiber_Stream_90,2,Class B Rookie,11,Classic,Rome,Tiber Stream,90
Cairo_Nile_River_90,3,German Wheels,11,Classic,Cairo,Nile River,90
San_Francisco_Rush_Minute_90,3,Lotus,1,Classic,San Francisco,Rush Minute,90
San_Francisco_Tunnel_Jam_90,3,Lotus,6,Classic,San Francisco,Tunnel Jam,90
San_Francisco_Bridge_View_120,3,American Extreme,16,Classic,San Francisco,Bridge View,120
The_Caribbean_Resort_Dash_30,3,Welcome to Paradise,1,Classic,The Caribbean,Resort Dash,30
The_Caribbean_Hotel_Road_60,3,Welcome to Paradise,2,Classic,The Caribbean,Hotel Road,60
The_Caribbean_Beach_Landing_90,3,Welcome to Paradise,3,Classic,The Caribbean,Beach Landing,90
The_Caribbean_Hell_Vale_30,3,Welcome to Paradise,4,Classic,The Caribbean,Hell Vale,30
The_Caribbean_Island_Tour_120,3,Welcome to Paradise,6,Classic,The Caribbean,Island Tour,120
Nevada_Hairpin_Sprint_60,3,Fire & Lightning,3,Classic,Nevada,Hairpin Sprint,60
Osaka_Refined_Finish_90,3,Fire & Lightning,11,Time Attack,Osaka,Refined Finish,90
Osaka_Kita_Run_90,3,European Season,7,Classic,Osaka,Kita Run,90
Rome_Pantheon_Split_90,3,Mercedes,1,Classic,Rome,Pantheon Split,90
Himalayas_Downhill_Run_90,3,Mercedes,2,Classic,Himalayas,Downhill Run,90
Rome_Ancient_Rome_90,3,Mercedes,5,Classic,Rome,Ancient Rome,90
Himalayas_Cave_Heat_90,3,Mercedes,6,Classic,Himalayas,Cave Heat,90
Auckland_Straight_Sprint_90,4,Electric Season,7,Classic,Auckland,Straight Sprint,90
The_Caribbean_All-Inclusive_120,4,Italian Season,7,Hunted,The Caribbean,All-Inclusive,120
The_Caribbean_Pier_Pressure_90,4,Sun Racers,1,Classic,The Caribbean,Pier Pressure,90
The_Caribbean_Islet_Race_30,4,Sun Racers,2,Classic,The Caribbean,Islet Race,30
The_Caribbean_Thundering_Start_90,4,Sun Racers,3,Classic,The Caribbean,Thundering Start,90
Osaka_Namba_Park_30,5,Tradition Meets Future,1,Classic,Osaka,Namba Park,30
Osaka_Moat_Finale_90,5,Tradition Meets Future,2,Classic,Osaka,Moat Finale,90
Osaka_Large_Hill_120,5,Tradition Meets Future,6,Hunted,Osaka,Large Hill,120
Osaka_Welcome_to_Osaka_120,5,Tradition Meets Future,10,Classic,Osaka,Welcome to Osaka,120
Rome_The_Enchanted_Island_90,5,Ferrari,1,Time Attack,Rome,The Enchanted Island,90
Buenos_Aires_Football_&_Politics_90,6,British Tour,1,Classic,Buenos Aires,Football & Politics,90
Buenos_Aires_Big_Passions_90,6,British Tour,2,Classic,Buenos Aires,Big Passions,90
Buenos_Aires_Harbor_Run_90,6,British Tour,3,Classic,Buenos Aires,Harbor Run,90
Buenos_Aires_Purple_Boulevard_90,6,British Tour,4,Classic,Buenos Aires,Purple Boulevard,90
Buenos_Aires_Stadium_Lap_90,6,British Tour,5,Classic,Buenos Aires,Stadium Lap,90
Buenos_Aires_Through_the_Park_90,6,British Tour,6,Classic,Buenos Aires,Through the Park,90
Buenos_Aires_New_City_90,6,British Tour,7,Classic,Buenos Aires,New City,90
Buenos_Aires_Old_City_90,6,British Tour,8,Classic,Buenos Aires,Old City,90
Buenos_Aires_Crosstown_Rivals_90,6,British Tour,9,Classic,Buenos Aires,Crosstown Rivals,90
Greenland_Fire_&_Ice_90,6,Bring the Heat,1,Classic,Greenland,Fire & Ice,90
Greenland_Volcano_Run_90,6,Bring the Heat,2,Classic,Greenland,Volcano Run,90
Greenland_Ice_Road_Circuit_90,6,Bring the Heat,3,Classic,Greenland,Ice Road Circuit,90
Greenland_Slippery_when_Icy_90,6,Bring the Heat,4,Classic,Greenland,Slippery when Icy,90
Greenland_Icy_Loop_90,6,Bring the Heat,5,Classic,Greenland,Icy Loop,90
Greenland_Coastal_Ice_90,6,Bring the Heat,6,Classic,Greenland,Coastal Ice,90
Greenland_Coastal_Loop_120,6,Bring the Heat,8,Classic,Greenland,Coastal Loop,120
Greenland_Icebergs_&_Lava_120,6,Bring the Heat,9,Classic,Greenland,Icebergs & Lava,120
